,subject,rule,init_rev,acc_subj,acc_norm
0,MtEvu0o0rASdzj0RAAAB,Kappa,0,0.625,0.4858875000000001
1,MtEvu0o0rASdzj0RAAAB,Kappa,1,0.75,0.9506125000000002
2,MtEvu0o0rASdzj0RAAAB,Omega,0,0.5,0.9555875
3,MtEvu0o0rASdzj0RAAAB,Omega,1,0.5,0.9601000000000004
4,MtEvu0o0rASdzj0RAAAB,Zeta,0,1.0,0.9535374999999999
5,MtEvu0o0rASdzj0RAAAB,Zeta,1,1.0,0.9158125
6,MtEvu0o0rASdzj0RAAAB,Iota,0,0.625,0.6242375
7,MtEvu0o0rASdzj0RAAAB,Iota,1,0.625,0.9531625000000001
8,MtEvu0o0rASdzj0RAAAB,Upsilon,0,0.75,0.5954250000000001
9,MtEvu0o0rASdzj0RAAAB,Upsilon,1,0.75,0.8746375000000001
10,2EKEeW5nXgfElliSAAAC,Kappa,0,0.625,0.8158125000000007
11,2EKEeW5nXgfElliSAAAC,Kappa,1,0.625,0.9773375000000001
12,2EKEeW5nXgfElliSAAAC,Omega,0,0.625,0.746675
13,2EKEeW5nXgfElliSAAAC,Omega,1,0.375,0.9048374999999995
14,2EKEeW5nXgfElliSAAAC,Zeta,0,0.375,0.5158499999999979
15,2EKEeW5nXgfElliSAAAC,Zeta,1,0.75,0.9166499999999999
16,2EKEeW5nXgfElliSAAAC,Iota,0,0.75,0.8704625
17,2EKEeW5nXgfElliSAAAC,Iota,1,0.625,0.6326125000000001
18,2EKEeW5nXgfElliSAAAC,Upsilon,0,0.5,0.844925
19,2EKEeW5nXgfElliSAAAC,Upsilon,1,0.625,0.8912375
20,M13t0_SqWkkfwBKJAAAG,Iota,0,0.875,0.4232249999999998
21,M13t0_SqWkkfwBKJAAAG,Iota,1,0.375,0.7070625000000003
22,M13t0_SqWkkfwBKJAAAG,Kappa,0,0.75,0.38083750000000005
23,M13t0_SqWkkfwBKJAAAG,Kappa,1,0.375,0.84995
24,M13t0_SqWkkfwBKJAAAG,Zeta,0,0.375,0.5172874999999972
25,M13t0_SqWkkfwBKJAAAG,Zeta,1,0.625,0.9994000000000001
26,M13t0_SqWkkfwBKJAAAG,Upsilon,0,0.875,0.6538749999999981
27,M13t0_SqWkkfwBKJAAAG,Upsilon,1,0.125,0.9171625
28,M13t0_SqWkkfwBKJAAAG,Omega,0,0.375,0.6955999999999996
29,M13t0_SqWkkfwBKJAAAG,Omega,1,0.625,0.7492375
30,r7iNHo-YDufvj4ttAAAF,Iota,0,0.5,0.7441124999999997
31,r7iNHo-YDufvj4ttAAAF,Iota,1,0.5,0.6276999999999995
32,r7iNHo-YDufvj4ttAAAF,Kappa,0,0.375,0.5201749999999994
33,r7iNHo-YDufvj4ttAAAF,Kappa,1,0.5,0.9507
34,r7iNHo-YDufvj4ttAAAF,Zeta,0,1.0,0.999775
35,r7iNHo-YDufvj4ttAAAF,Zeta,1,1.0,0.996975
36,r7iNHo-YDufvj4ttAAAF,Upsilon,0,0.75,0.9867375
37,r7iNHo-YDufvj4ttAAAF,Upsilon,1,0.75,0.9869750000000002
38,r7iNHo-YDufvj4ttAAAF,Omega,0,0.25,0.7237249999999996
39,r7iNHo-YDufvj4ttAAAF,Omega,1,0.5,0.9089374999999997
40,E1SpkGS9NTgV8u12AAAR,Omega,0,0.375,0.5666874999999989
41,E1SpkGS9NTgV8u12AAAR,Omega,1,0.625,0.7049
42,E1SpkGS9NTgV8u12AAAR,Upsilon,0,0.625,0.7756625
43,E1SpkGS9NTgV8u12AAAR,Upsilon,1,0.625,0.996675
44,E1SpkGS9NTgV8u12AAAR,Kappa,0,0.625,0.8200999999999998
45,E1SpkGS9NTgV8u12AAAR,Kappa,1,0.625,0.7309125000000001
46,E1SpkGS9NTgV8u12AAAR,Iota,0,0.375,0.5230999999999957
47,E1SpkGS9NTgV8u12AAAR,Iota,1,0.375,0.7940750000000001
48,E1SpkGS9NTgV8u12AAAR,Zeta,0,0.625,0.5551249999999966
49,E1SpkGS9NTgV8u12AAAR,Zeta,1,0.625,0.5282874999999982
50,ijO29Ey-fm1vE_ApAAAQ,Omega,0,0.75,0.7377624999999999
51,ijO29Ey-fm1vE_ApAAAQ,Omega,1,0.625,0.7259375000000001
52,ijO29Ey-fm1vE_ApAAAQ,Upsilon,0,1.0,0.9754750000000001
53,ijO29Ey-fm1vE_ApAAAQ,Upsilon,1,1.0,0.9871874999999999
54,ijO29Ey-fm1vE_ApAAAQ,Kappa,0,1.0,0.5899999999999999
55,ijO29Ey-fm1vE_ApAAAQ,Kappa,1,0.75,0.8634625000000001
56,ijO29Ey-fm1vE_ApAAAQ,Iota,0,0.375,0.46601249999999983
57,ijO29Ey-fm1vE_ApAAAQ,Iota,1,0.375,0.49768749999999967
58,ijO29Ey-fm1vE_ApAAAQ,Zeta,0,0.125,0.5002874999999973
59,ijO29Ey-fm1vE_ApAAAQ,Zeta,1,0.25,0.5293124999999979
60,xJIHTzH_6xnTxFlRAAAa,Kappa,0,0.625,0.5922124999999997
61,xJIHTzH_6xnTxFlRAAAa,Kappa,1,0.5,0.8626750000000004
62,xJIHTzH_6xnTxFlRAAAa,Zeta,0,0.625,0.9076250000000003
63,xJIHTzH_6xnTxFlRAAAa,Zeta,1,0.75,0.9943749999999999
64,xJIHTzH_6xnTxFlRAAAa,Omega,0,0.625,0.6591624999999994
65,xJIHTzH_6xnTxFlRAAAa,Omega,1,0.75,0.604475
66,xJIHTzH_6xnTxFlRAAAa,Iota,0,0.625,0.6673125
67,xJIHTzH_6xnTxFlRAAAa,Iota,1,0.5,0.6225
68,xJIHTzH_6xnTxFlRAAAa,Upsilon,0,1.0,0.9839625000000001
69,xJIHTzH_6xnTxFlRAAAa,Upsilon,1,1.0,0.9911875
70,VpvPjmHNp4f3c7RjAAAZ,Kappa,0,1.0,0.7578625000000001
71,VpvPjmHNp4f3c7RjAAAZ,Kappa,1,1.0,0.7418874999999999
72,VpvPjmHNp4f3c7RjAAAZ,Zeta,0,1.0,0.999575
73,VpvPjmHNp4f3c7RjAAAZ,Zeta,1,1.0,0.9652124999999998
74,VpvPjmHNp4f3c7RjAAAZ,Omega,0,0.5,0.7054124999999998
75,VpvPjmHNp4f3c7RjAAAZ,Omega,1,0.625,0.962825
76,VpvPjmHNp4f3c7RjAAAZ,Iota,0,0.625,0.69605
77,VpvPjmHNp4f3c7RjAAAZ,Iota,1,1.0,0.7761
78,VpvPjmHNp4f3c7RjAAAZ,Upsilon,0,0.625,0.510125
79,VpvPjmHNp4f3c7RjAAAZ,Upsilon,1,0.75,0.6939875
80,OmBy4yvY2pfWQmDgAAAK,Upsilon,0,1.0,0.9967499999999999
81,OmBy4yvY2pfWQmDgAAAK,Upsilon,1,1.0,0.9918374999999999
82,OmBy4yvY2pfWQmDgAAAK,Omega,0,0.375,0.5420125000000001
83,OmBy4yvY2pfWQmDgAAAK,Omega,1,0.375,0.7254749999999996
84,OmBy4yvY2pfWQmDgAAAK,Iota,0,0.75,0.5039999999999973
85,OmBy4yvY2pfWQmDgAAAK,Iota,1,0.75,0.7030500000000001
86,OmBy4yvY2pfWQmDgAAAK,Kappa,0,0.25,0.5115874999999952
87,OmBy4yvY2pfWQmDgAAAK,Kappa,1,0.75,0.7939874999999996
88,OmBy4yvY2pfWQmDgAAAK,Zeta,0,0.25,0.5045874999999979
89,OmBy4yvY2pfWQmDgAAAK,Zeta,1,0.875,0.9879875000000001
90,qqrRkUjR9e24cK98AAAJ,Upsilon,0,0.625,0.6418999999999988
91,qqrRkUjR9e24cK98AAAJ,Upsilon,1,0.25,0.8032874999999999
92,qqrRkUjR9e24cK98AAAJ,Omega,0,0.5,0.6494999999999997
93,qqrRkUjR9e24cK98AAAJ,Omega,1,0.625,0.7334
94,qqrRkUjR9e24cK98AAAJ,Iota,0,0.5,0.6217000000000001
95,qqrRkUjR9e24cK98AAAJ,Iota,1,0.375,0.6231875
96,qqrRkUjR9e24cK98AAAJ,Kappa,0,1.0,0.5004999999999993
97,qqrRkUjR9e24cK98AAAJ,Kappa,1,0.625,0.4718499999999999
98,qqrRkUjR9e24cK98AAAJ,Zeta,0,0.875,0.9845249999999998
99,qqrRkUjR9e24cK98AAAJ,Zeta,1,0.625,0.9567374999999998
100,S1Rl8ZLjGuV9clZWAAAM,Upsilon,0,0.125,0.830187499999999
101,S1Rl8ZLjGuV9clZWAAAM,Upsilon,1,0.75,0.5271749999999997
102,S1Rl8ZLjGuV9clZWAAAM,Kappa,0,0.75,0.8726375000000002
103,S1Rl8ZLjGuV9clZWAAAM,Kappa,1,0.625,0.8477000000000001
104,S1Rl8ZLjGuV9clZWAAAM,Zeta,0,0.75,0.99935
105,S1Rl8ZLjGuV9clZWAAAM,Zeta,1,0.625,0.9247375
106,S1Rl8ZLjGuV9clZWAAAM,Omega,0,0.375,0.3654625
107,S1Rl8ZLjGuV9clZWAAAM,Omega,1,0.625,0.9349875000000001
108,S1Rl8ZLjGuV9clZWAAAM,Iota,0,0.75,0.8578624999999998
109,S1Rl8ZLjGuV9clZWAAAM,Iota,1,0.25,0.6866375
110,rn_VRK5iLPgev9f8AAAN,Upsilon,0,0.625,0.730499999999999
111,rn_VRK5iLPgev9f8AAAN,Upsilon,1,0.5,0.8494499999999999
112,rn_VRK5iLPgev9f8AAAN,Kappa,0,0.375,0.5061249999999999
113,rn_VRK5iLPgev9f8AAAN,Kappa,1,0.625,0.8201374999999997
114,rn_VRK5iLPgev9f8AAAN,Zeta,0,1.0,0.5214249999999973
115,rn_VRK5iLPgev9f8AAAN,Zeta,1,0.5,0.9935875000000001
116,rn_VRK5iLPgev9f8AAAN,Omega,0,0.625,0.8414874999999992
117,rn_VRK5iLPgev9f8AAAN,Omega,1,0.375,0.9683625000000002
118,rn_VRK5iLPgev9f8AAAN,Iota,0,0.25,0.625325
119,rn_VRK5iLPgev9f8AAAN,Iota,1,0.625,0.6237125000000001
120,kHHm-H0mTQUFgweSAAAP,Omega,0,0.625,0.6762249999999999
121,kHHm-H0mTQUFgweSAAAP,Omega,1,0.625,0.9775749999999995
122,kHHm-H0mTQUFgweSAAAP,Zeta,0,1.0,0.9255249999999994
123,kHHm-H0mTQUFgweSAAAP,Zeta,1,1.0,0.9972000000000001
124,kHHm-H0mTQUFgweSAAAP,Iota,0,0.5,0.6585624999999999
125,kHHm-H0mTQUFgweSAAAP,Iota,1,0.75,0.6309625
126,kHHm-H0mTQUFgweSAAAP,Kappa,0,0.75,0.9458249999999999
127,kHHm-H0mTQUFgweSAAAP,Kappa,1,0.875,0.9377375
128,kHHm-H0mTQUFgweSAAAP,Upsilon,0,1.0,0.9884249999999999
129,kHHm-H0mTQUFgweSAAAP,Upsilon,1,1.0,0.9598
130,6gZy2DmjWY9DADshAAAO,Omega,0,0.625,0.8767124999999992
131,6gZy2DmjWY9DADshAAAO,Omega,1,0.5,0.9773874999999999
132,6gZy2DmjWY9DADshAAAO,Zeta,0,1.0,0.9359124999999988
133,6gZy2DmjWY9DADshAAAO,Zeta,1,1.0,0.9904
134,6gZy2DmjWY9DADshAAAO,Iota,0,0.625,0.7347374999999998
135,6gZy2DmjWY9DADshAAAO,Iota,1,0.625,0.6177875
136,6gZy2DmjWY9DADshAAAO,Kappa,0,0.625,0.6871124999999996
137,6gZy2DmjWY9DADshAAAO,Kappa,1,0.875,0.997825
138,6gZy2DmjWY9DADshAAAO,Upsilon,0,0.375,0.969925
139,6gZy2DmjWY9DADshAAAO,Upsilon,1,1.0,0.9776875
140,JT7ZAB7dPEXbWM9KAAAF,Iota,0,0.375,0.623725
141,JT7ZAB7dPEXbWM9KAAAF,Iota,1,0.25,0.8495375
142,JT7ZAB7dPEXbWM9KAAAF,Kappa,0,0.5,0.5007124999999998
143,JT7ZAB7dPEXbWM9KAAAF,Kappa,1,0.625,0.7285
144,JT7ZAB7dPEXbWM9KAAAF,Upsilon,0,0.625,0.9982125000000001
145,JT7ZAB7dPEXbWM9KAAAF,Upsilon,1,0.625,0.8525750000000001
146,JT7ZAB7dPEXbWM9KAAAF,Omega,0,0.625,0.5709125000000002
147,JT7ZAB7dPEXbWM9KAAAF,Omega,1,0.625,0.9533874999999996
148,JT7ZAB7dPEXbWM9KAAAF,Zeta,0,1.0,0.9873499999999997
149,JT7ZAB7dPEXbWM9KAAAF,Zeta,1,1.0,0.997625
150,qTHpztkVBSdBm_UZAAAE,Iota,0,0.75,0.6942750000000001
151,qTHpztkVBSdBm_UZAAAE,Iota,1,0.875,0.6322124999999998
152,qTHpztkVBSdBm_UZAAAE,Kappa,0,1.0,0.6226624999999999
153,qTHpztkVBSdBm_UZAAAE,Kappa,1,1.0,0.8119375
154,qTHpztkVBSdBm_UZAAAE,Upsilon,0,0.5,0.9590375
155,qTHpztkVBSdBm_UZAAAE,Upsilon,1,0.5,0.9910125000000001
156,qTHpztkVBSdBm_UZAAAE,Omega,0,0.75,0.6606625
157,qTHpztkVBSdBm_UZAAAE,Omega,1,0.75,0.7230499999999995
158,qTHpztkVBSdBm_UZAAAE,Zeta,0,0.75,0.7010249999999995
159,qTHpztkVBSdBm_UZAAAE,Zeta,1,1.0,0.99605
160,J2g8DxowwOB-gkR8AAAM,Kappa,0,1.0,0.8086125
161,J2g8DxowwOB-gkR8AAAM,Kappa,1,1.0,0.9760249999999999
162,J2g8DxowwOB-gkR8AAAM,Iota,0,0.625,0.640725
163,J2g8DxowwOB-gkR8AAAM,Iota,1,0.75,0.7309374999999999
164,J2g8DxowwOB-gkR8AAAM,Zeta,0,0.5,0.7415999999999989
165,J2g8DxowwOB-gkR8AAAM,Zeta,1,1.0,0.9962374999999999
166,J2g8DxowwOB-gkR8AAAM,Omega,0,0.625,0.5000125
167,J2g8DxowwOB-gkR8AAAM,Omega,1,0.625,0.3830250000000001
168,J2g8DxowwOB-gkR8AAAM,Upsilon,0,1.0,0.7451375000000002
169,J2g8DxowwOB-gkR8AAAM,Upsilon,1,1.0,0.9885999999999999
170,d9VaYpby-V6K-PGgAAAN,Kappa,0,0.125,0.9248750000000001
171,d9VaYpby-V6K-PGgAAAN,Kappa,1,0.375,0.981325
172,d9VaYpby-V6K-PGgAAAN,Iota,0,0.75,0.39716249999999914
173,d9VaYpby-V6K-PGgAAAN,Iota,1,0.75,0.8965875
174,d9VaYpby-V6K-PGgAAAN,Zeta,0,1.0,0.9179249999999983
175,d9VaYpby-V6K-PGgAAAN,Zeta,1,1.0,0.9807000000000002
176,d9VaYpby-V6K-PGgAAAN,Omega,0,0.625,0.6228624999999992
177,d9VaYpby-V6K-PGgAAAN,Omega,1,0.625,0.9934999999999997
178,d9VaYpby-V6K-PGgAAAN,Upsilon,0,0.375,0.6491874999999987
179,d9VaYpby-V6K-PGgAAAN,Upsilon,1,0.375,0.972075
180,UoeEYonMQNivhGsyAAAG,Upsilon,0,1.0,0.391725
181,UoeEYonMQNivhGsyAAAG,Upsilon,1,1.0,0.6989375
182,UoeEYonMQNivhGsyAAAG,Iota,0,0.5,0.4986874999999989
183,UoeEYonMQNivhGsyAAAG,Iota,1,0.25,0.5003124999999998
184,UoeEYonMQNivhGsyAAAG,Kappa,0,0.625,0.6237874999999999
185,UoeEYonMQNivhGsyAAAG,Kappa,1,0.625,0.8195624999999999
186,UoeEYonMQNivhGsyAAAG,Omega,0,0.75,0.7459624999999996
187,UoeEYonMQNivhGsyAAAG,Omega,1,0.75,0.7644125000000002
188,UoeEYonMQNivhGsyAAAG,Zeta,0,1.0,0.9814375000000001
189,UoeEYonMQNivhGsyAAAG,Zeta,1,1.0,0.9982
190,bvS2n6FpsWwYieCFAAAF,Upsilon,0,0.75,0.9244374999999999
191,bvS2n6FpsWwYieCFAAAF,Upsilon,1,0.375,0.8099624999999999
192,bvS2n6FpsWwYieCFAAAF,Iota,0,0.25,0.9988
193,bvS2n6FpsWwYieCFAAAF,Iota,1,0.625,0.8641875
194,bvS2n6FpsWwYieCFAAAF,Kappa,0,0.75,0.5033749999999998
195,bvS2n6FpsWwYieCFAAAF,Kappa,1,1.0,0.9171875
196,bvS2n6FpsWwYieCFAAAF,Omega,0,0.5,0.7266249999999996
197,bvS2n6FpsWwYieCFAAAF,Omega,1,0.5,0.9555249999999997
198,bvS2n6FpsWwYieCFAAAF,Zeta,0,1.0,0.9327374999999997
199,bvS2n6FpsWwYieCFAAAF,Zeta,1,1.0,0.9803249999999999
200,uE7nz-KzP32pZvFkAAAM,Zeta,0,0.5,0.950725
201,uE7nz-KzP32pZvFkAAAM,Zeta,1,0.5,0.9934999999999999
202,uE7nz-KzP32pZvFkAAAM,Upsilon,0,0.75,0.996
203,uE7nz-KzP32pZvFkAAAM,Upsilon,1,0.75,0.9740249999999999
204,uE7nz-KzP32pZvFkAAAM,Iota,0,0.375,0.7306374999999989
205,uE7nz-KzP32pZvFkAAAM,Iota,1,0.625,0.7004874999999985
206,uE7nz-KzP32pZvFkAAAM,Omega,0,0.375,0.6005624999999983
207,uE7nz-KzP32pZvFkAAAM,Omega,1,0.625,0.334625
208,uE7nz-KzP32pZvFkAAAM,Kappa,0,0.625,0.6083874999999986
209,uE7nz-KzP32pZvFkAAAM,Kappa,1,0.625,0.9039749999999999
210,2PSNytKkwqU4wHbjAAAN,Zeta,0,0.375,0.9866624999999999
211,2PSNytKkwqU4wHbjAAAN,Zeta,1,0.375,0.9979
212,2PSNytKkwqU4wHbjAAAN,Upsilon,0,0.375,0.7452374999999999
213,2PSNytKkwqU4wHbjAAAN,Upsilon,1,0.375,0.9949875
214,2PSNytKkwqU4wHbjAAAN,Iota,0,0.375,0.4970624999999972
215,2PSNytKkwqU4wHbjAAAN,Iota,1,0.375,0.7261499999999993
216,2PSNytKkwqU4wHbjAAAN,Omega,0,0.375,0.48268749999999994
217,2PSNytKkwqU4wHbjAAAN,Omega,1,0.625,0.366375
218,2PSNytKkwqU4wHbjAAAN,Kappa,0,0.5,0.9305875
219,2PSNytKkwqU4wHbjAAAN,Kappa,1,0.625,0.6787125000000003
220,m9nbP0jLatypuGK7AAAU,Zeta,0,0.375,0.5063874999999968
221,m9nbP0jLatypuGK7AAAU,Zeta,1,0.375,0.943625
222,m9nbP0jLatypuGK7AAAU,Omega,0,0.625,0.5207124999999997
223,m9nbP0jLatypuGK7AAAU,Omega,1,0.625,0.4187124999999998
224,m9nbP0jLatypuGK7AAAU,Iota,0,0.625,0.49498749999999664
225,m9nbP0jLatypuGK7AAAU,Iota,1,0.625,0.3648
226,m9nbP0jLatypuGK7AAAU,Kappa,0,0.625,0.5844749999999983
227,m9nbP0jLatypuGK7AAAU,Kappa,1,0.625,0.9440499999999997
228,m9nbP0jLatypuGK7AAAU,Upsilon,0,0.375,0.804625
229,m9nbP0jLatypuGK7AAAU,Upsilon,1,0.375,0.9785625000000001
230,Ea3CVUwVovU8FL6dAAAV,Zeta,0,0.875,0.9481624999999988
231,Ea3CVUwVovU8FL6dAAAV,Zeta,1,1.0,0.9462374999999985
232,Ea3CVUwVovU8FL6dAAAV,Omega,0,0.5,0.3773750000000002
