,subject,rule,init_rev,acc_subj,acc_norm
104,jUCAC,Iota,0,0.625,0.48502499999999715
105,jUCAC,Iota,1,0.625,0.9403875
106,6jBfW,Upsilon,0,0.625,0.8230250000000001
107,6jBfW,Upsilon,1,0.75,0.6565624999999999
108,6jBfW,Omega,0,0.625,0.5283374999999995
109,6jBfW,Omega,1,0.625,0.47264999999999824
110,P7FU1,Kappa,0,0.25,0.6626999999999994
111,P7FU1,Kappa,1,0.375,0.8233374999999996
112,P7FU1,Iota,0,0.375,0.5987124999999998
113,P7FU1,Iota,1,0.25,0.6832874999999998
114,P7FU1,Zeta,0,0.625,0.9003499999999985
115,P7FU1,Zeta,1,1.0,0.9436874999999993
116,HMsR4,Kappa,0,1.0,0.5776749999999997
117,HMsR4,Kappa,1,1.0,0.8331
118,HMsR4,Iota,0,0.25,0.5034624999999986
119,HMsR4,Iota,1,0.625,0.62225
120,HMsR4,Zeta,0,1.0,0.5364374999999975
121,HMsR4,Zeta,1,1.0,0.9895624999999998
122,uR94z,Upsilon,0,0.625,0.85075
123,uR94z,Upsilon,1,0.625,0.9986125
124,uR94z,Kappa,0,0.375,0.8115000000000001
125,uR94z,Kappa,1,0.875,0.7851749999999997
126,uR94z,Omega,0,0.375,0.5053249999999999
127,uR94z,Omega,1,0.5,0.6284000000000001
128,uR94z,Iota,0,0.75,0.4273125000000001
129,uR94z,Iota,1,0.875,0.8833500000000001
130,uR94z,Zeta,0,0.625,0.9929374999999999
131,uR94z,Zeta,1,1.0,0.9457375
132,x0d4k,Omega,0,0.625,0.5854999999999981
133,x0d4k,Omega,1,0.625,0.5704374999999993
134,x0d4k,Kappa,0,1.0,0.7460000000000001
135,x0d4k,Kappa,1,1.0,0.7407374999999998
136,x0d4k,Iota,0,0.75,0.8723125
137,x0d4k,Iota,1,0.75,0.8358749999999999
138,x0d4k,Upsilon,0,0.625,0.7199999999999999
139,x0d4k,Upsilon,1,1.0,0.7012499999999999
140,x0d4k,Zeta,0,1.0,0.8755749999999994
141,x0d4k,Zeta,1,1.0,0.8863874999999998
142,Ft3Te,Omega,0,0.5,0.7321625
143,Ft3Te,Omega,1,0.875,0.6524499999999998
144,Ft3Te,Kappa,0,0.875,0.7725124999999999
145,Ft3Te,Kappa,1,1.0,0.9676500000000002
146,Ft3Te,Iota,0,0.625,0.7228874999999997
147,Ft3Te,Iota,1,1.0,0.7407250000000001
148,Ft3Te,Upsilon,0,0.75,0.7365000000000004
149,Ft3Te,Upsilon,1,0.625,0.9319250000000001
150,Ft3Te,Zeta,0,1.0,0.9444624999999993
151,Ft3Te,Zeta,1,1.0,0.979475
152,18SWe,Upsilon,0,0.375,0.7161874999999991
153,18SWe,Upsilon,1,0.625,0.9493
154,18SWe,Kappa,0,0.625,0.3964375
155,18SWe,Kappa,1,0.75,0.7053750000000002
156,18SWe,Iota,0,0.75,0.5373624999999993
157,18SWe,Iota,1,0.375,0.6861
158,18SWe,Omega,0,0.625,0.7045125000000002
159,18SWe,Omega,1,0.5,0.6244000000000001
160,VNO0H,Kappa,0,0.625,0.495275
161,VNO0H,Kappa,1,0.375,0.5006500000000002
162,VNO0H,Upsilon,0,0.375,0.7585249999999986
163,VNO0H,Upsilon,1,0.375,0.9940000000000001
164,VNO0H,Omega,0,0.375,0.4777374999999966
165,VNO0H,Omega,1,0.375,0.6073874999999996
166,VNO0H,Zeta,0,0.625,0.49973749999999784
167,VNO0H,Zeta,1,0.625,0.5116624999999967
168,Ppbut,Iota,0,0.625,0.6207875
169,Ppbut,Iota,1,1.0,0.9366624999999998
170,Ppbut,Upsilon,0,0.625,0.9213374999999999
171,Ppbut,Upsilon,1,1.0,0.9897625
172,Ppbut,Kappa,0,1.0,0.5446749999999999
173,Ppbut,Kappa,1,1.0,0.7742874999999992
174,Ppbut,Omega,0,0.5,0.7089499999999999
175,Ppbut,Omega,1,0.875,0.9492749999999999
176,Ppbut,Zeta,0,1.0,0.9571749999999998
177,Ppbut,Zeta,1,1.0,0.980025
178,jpl7c,Zeta,0,0.625,0.5207874999999974
179,jpl7c,Zeta,1,0.625,0.9894624999999999
180,xg523,Iota,0,1.0,0.9995124999999999
181,xg523,Iota,1,1.0,0.9267249999999999
182,xg523,Kappa,0,1.0,0.6116499999999984
183,xg523,Kappa,1,1.0,0.5164750000000001
184,xg523,Omega,0,0.625,0.6164124999999987
185,xg523,Omega,1,0.75,0.7335750000000001
186,xg523,Zeta,0,1.0,0.9715249999999997
187,xg523,Zeta,1,1.0,0.9983000000000001
188,xg523,Upsilon,0,0.375,0.9430125
189,xg523,Upsilon,1,0.75,0.9000875
190,wa1xN,Iota,0,0.75,0.5064749999999998
191,wa1xN,Iota,1,0.75,0.7042749999999999
192,wa1xN,Upsilon,0,1.0,0.7851874999999999
193,wa1xN,Upsilon,1,1.0,0.9837875
194,wa1xN,Omega,0,0.625,0.5553749999999992
195,wa1xN,Omega,1,0.625,0.5251999999999986
196,wa1xN,Kappa,0,0.75,0.6231999999999999
197,wa1xN,Kappa,1,1.0,0.7474999999999998
198,wa1xN,Zeta,0,0.875,0.8085124999999996
199,wa1xN,Zeta,1,0.875,0.9876249999999999
200,kJhBt,Upsilon,0,0.625,0.7433500000000001
201,kJhBt,Upsilon,1,0.75,0.7467375
202,kJhBt,Kappa,0,0.75,0.4624374999999993
203,kJhBt,Kappa,1,0.75,0.9542749999999999
204,kJhBt,Zeta,0,1.0,0.8734874999999988
205,kJhBt,Zeta,1,0.375,0.9962249999999999
206,kJhBt,Iota,0,0.5,0.49527499999999913
207,kJhBt,Iota,1,0.625,0.8562749999999999
208,z8sk7,Zeta,0,1.0,0.9857625
209,z8sk7,Zeta,1,1.0,0.9157875
210,z8sk7,Upsilon,0,0.375,0.9901875000000001
211,z8sk7,Upsilon,1,0.625,0.8787875
212,z8sk7,Iota,0,1.0,0.609325
213,z8sk7,Iota,1,1.0,0.9301250000000001
214,z8sk7,Kappa,0,1.0,0.4999999999999999
215,z8sk7,Kappa,1,1.0,0.9755625000000002
216,z8sk7,Omega,0,0.625,0.6196
217,z8sk7,Omega,1,1.0,0.9198874999999999
218,Nc8xY,Kappa,0,0.125,0.5017624999999999
219,Nc8xY,Kappa,1,0.125,0.9029374999999996
220,Nc8xY,Omega,0,0.375,0.4254999999999998
221,Nc8xY,Omega,1,0.375,0.5060875
222,3Tji4,Omega,0,0.375,0.6782624999999998
223,3Tji4,Omega,1,0.5,0.8759000000000001
224,3Tji4,Upsilon,0,0.625,0.9975625
225,3Tji4,Upsilon,1,0.875,0.9940625
226,3Tji4,Zeta,0,1.0,0.838612499999999
227,3Tji4,Zeta,1,1.0,0.993925
228,3Tji4,Iota,0,1.0,0.9991374999999999
229,3Tji4,Iota,1,1.0,0.81235
230,3Tji4,Kappa,0,0.625,0.7132
231,3Tji4,Kappa,1,0.75,0.8750125
232,rnnj1,Zeta,0,0.375,0.5086999999999968
233,rnnj1,Zeta,1,0.625,0.9267874999999993
234,rnnj1,Upsilon,0,0.375,0.9771875
235,rnnj1,Upsilon,1,0.375,0.6514000000000001
236,oYoA1,Kappa,0,1.0,0.4964499999999999
237,oYoA1,Kappa,1,1.0,0.5000625
