,subject,rule,init_rev,acc_subj,acc_norm
0,wHjhL,Iota,0,1.0,0.5893499999999996
1,wHjhL,Iota,1,1.0,0.5254499999999992
2,wHjhL,Zeta,0,1.0,0.7242249999999983
3,wHjhL,Zeta,1,1.0,0.9907624999999998
4,wHjhL,Omega,0,0.625,0.7388375
5,wHjhL,Omega,1,0.5,0.6134749999999993
6,wHjhL,Upsilon,0,0.375,0.8059125
7,wHjhL,Upsilon,1,0.375,0.784225
8,wHjhL,Kappa,0,0.625,0.6187875
9,wHjhL,Kappa,1,0.5,0.9022374999999999
10,ZECTn,Iota,0,0.625,0.6241
11,ZECTn,Iota,1,1.0,0.624925
12,ZECTn,Zeta,0,1.0,0.9125874999999997
13,ZECTn,Zeta,1,1.0,0.8967499999999993
14,ZECTn,Upsilon,0,0.375,0.7402749999999998
15,ZECTn,Upsilon,1,0.625,0.5632124999999999
16,ZECTn,Kappa,0,1.0,0.7329124999999994
17,ZECTn,Kappa,1,1.0,0.8443374999999999
18,ZECTn,Omega,0,0.625,0.5304124999999972
19,ZECTn,Omega,1,0.625,0.5756249999999987
20,qEOSD,Omega,0,0.75,0.6125750000000001
21,qEOSD,Omega,1,0.875,0.8214124999999997
22,qEOSD,Zeta,0,1.0,0.9850125
23,qEOSD,Zeta,1,1.0,0.9966125
24,qEOSD,Kappa,0,0.625,0.87595
25,qEOSD,Kappa,1,0.625,0.9430624999999999
26,qEOSD,Upsilon,0,0.75,0.7839749999999999
27,qEOSD,Upsilon,1,0.5,0.9350750000000001
28,qEOSD,Iota,0,0.25,0.5387624999999996
29,qEOSD,Iota,1,0.25,0.7976375
30,2ZlW3,Omega,0,0.5,0.5539124999999999
31,2ZlW3,Omega,1,0.375,0.6635999999999992
32,2ZlW3,Kappa,0,0.75,0.9228125
33,2ZlW3,Kappa,1,0.5,0.9537750000000004
34,2ZlW3,Iota,0,0.25,0.3125374999999999
35,2ZlW3,Iota,1,0.625,0.9488124999999998
36,2ZlW3,Zeta,0,0.5,0.9922749999999998
37,2ZlW3,Zeta,1,0.375,0.9614625
38,2ZlW3,Upsilon,0,0.5,0.44141249999999943
39,2ZlW3,Upsilon,1,0.625,0.8844249999999999
40,rTu4H,Zeta,0,0.25,0.9586374999999996
41,rTu4H,Zeta,1,0.75,0.9467874999999998
42,rTu4H,Upsilon,0,0.5,0.7006124999999984
43,rTu4H,Upsilon,1,0.375,0.9719125
44,rTu4H,Omega,0,0.375,0.6367249999999999
45,rTu4H,Omega,1,0.5,0.9985875
46,rTu4H,Iota,0,0.375,0.6183624999999999
47,rTu4H,Iota,1,0.625,0.6182124999999999
48,rTu4H,Kappa,0,0.875,0.8626000000000001
49,rTu4H,Kappa,1,0.875,0.8747000000000001
50,4F753,Zeta,0,0.625,0.4973624999999973
51,4F753,Zeta,1,0.625,0.4993249999999968
52,4F753,Omega,0,0.375,0.6573749999999998
53,4F753,Omega,1,0.375,0.6908624999999999
54,4F753,Upsilon,0,0.375,0.50325
55,4F753,Upsilon,1,0.625,0.4674125
56,4F753,Iota,0,0.375,0.49609999999999693
57,4F753,Iota,1,0.375,0.5001624999999974
58,4F753,Kappa,0,0.625,0.5065624999999999
59,4F753,Kappa,1,0.625,0.47837499999999994
60,AYXpS,Kappa,0,1.0,0.6035749999999999
61,AYXpS,Kappa,1,1.0,0.5298624999999998
62,AYXpS,Iota,0,0.5,0.6957875000000001
63,AYXpS,Iota,1,0.75,0.6482249999999999
64,AYXpS,Upsilon,0,0.75,0.5592250000000001
65,AYXpS,Upsilon,1,0.75,0.996225
66,AYXpS,Omega,0,0.5,0.6130749999999989
67,AYXpS,Omega,1,0.5,0.9307249999999999
68,AYXpS,Zeta,0,1.0,0.9405499999999999
69,AYXpS,Zeta,1,1.0,0.9908625
70,JATf9,Iota,0,0.375,0.5093874999999972
71,JATf9,Iota,1,0.625,0.6220625000000001
72,JATf9,Omega,0,0.5,0.6240500000000004
73,JATf9,Omega,1,0.625,0.6250000000000001
74,JATf9,Upsilon,0,0.75,0.789375
75,JATf9,Upsilon,1,0.5,0.9982
76,JATf9,Kappa,0,0.375,0.5464
77,JATf9,Kappa,1,1.0,0.515125
78,JATf9,Zeta,0,1.0,0.9920374999999999
79,JATf9,Zeta,1,1.0,0.9965874999999998
80,QgoZL,Zeta,0,1.0,0.5195874999999983
81,QgoZL,Zeta,1,1.0,0.992675
82,QgoZL,Omega,0,0.625,0.6890749999999998
83,QgoZL,Omega,1,0.625,0.8965250000000002
84,QgoZL,Upsilon,0,1.0,0.670275
85,QgoZL,Upsilon,1,1.0,0.54715
86,QgoZL,Kappa,0,0.625,0.5528124999999995
87,QgoZL,Kappa,1,0.625,0.9776374999999998
88,QgoZL,Iota,0,0.75,0.579825
89,QgoZL,Iota,1,0.25,0.675675
90,4hBLT,Iota,0,0.625,0.6480250000000001
91,4hBLT,Iota,1,1.0,0.62945
92,4hBLT,Kappa,0,0.875,0.7081124999999999
93,4hBLT,Kappa,1,1.0,0.8798875
94,4hBLT,Omega,0,0.625,0.6194625
95,4hBLT,Omega,1,0.625,0.8931999999999998
96,4hBLT,Upsilon,0,0.625,0.8047875000000001
97,4hBLT,Upsilon,1,0.625,0.9134749999999999
98,4hBLT,Zeta,0,1.0,0.9878124999999996
99,4hBLT,Zeta,1,1.0,0.9995499999999999
100,FjM03,Omega,0,0.375,0.6761999999999997
101,FjM03,Omega,1,0.375,0.4269999999999998
102,FjM03,Iota,0,0.625,0.6242875
103,FjM03,Iota,1,0.375,0.6240625
104,FjM03,Zeta,0,0.375,0.9452124999999991
105,FjM03,Zeta,1,0.375,0.9923375
106,FjM03,Kappa,0,0.375,0.5256624999999999
107,FjM03,Kappa,1,0.375,0.5147999999999997
108,FjM03,Upsilon,0,0.375,0.5649374999999991
109,FjM03,Upsilon,1,0.375,0.741825
110,tGNdP,Upsilon,0,0.75,0.681237499999999
111,tGNdP,Upsilon,1,0.5,0.9859125
112,tGNdP,Kappa,0,0.75,0.7939749999999999
113,tGNdP,Kappa,1,0.875,0.9733249999999998
114,tGNdP,Omega,0,0.375,0.6295749999999999
115,tGNdP,Omega,1,0.25,0.5348374999999997
116,tGNdP,Zeta,0,1.0,0.9983
117,tGNdP,Zeta,1,1.0,0.9956624999999999
118,tGNdP,Iota,0,0.625,0.6224999999999998
119,tGNdP,Iota,1,1.0,0.8061749999999999
120,3x2t1,Upsilon,0,0.625,0.9564125
121,3x2t1,Upsilon,1,0.75,0.9989375
122,3x2t1,Iota,0,0.75,0.6082875000000001
