,subject,rule,init_rev,acc_subj,acc_norm
0,MtEvu0o0rASdzj0RAAAB,Kappa,0,0.625,0.4889499999999997
1,MtEvu0o0rASdzj0RAAAB,Kappa,1,0.75,0.7437874999999998
2,MtEvu0o0rASdzj0RAAAB,Omega,0,0.5,0.7281624999999999
3,MtEvu0o0rASdzj0RAAAB,Omega,1,0.5,0.9562499999999998
4,MtEvu0o0rASdzj0RAAAB,Zeta,0,1.0,0.957875
5,MtEvu0o0rASdzj0RAAAB,Zeta,1,1.0,0.8236125
6,MtEvu0o0rASdzj0RAAAB,Iota,0,0.625,0.6179250000000001
7,MtEvu0o0rASdzj0RAAAB,Iota,1,0.625,0.6199875000000001
8,MtEvu0o0rASdzj0RAAAB,Upsilon,0,0.75,0.708325
9,MtEvu0o0rASdzj0RAAAB,Upsilon,1,0.75,0.9775250000000002
10,r7iNHo-YDufvj4ttAAAF,Kappa,0,0.375,0.5231374999999996
11,r7iNHo-YDufvj4ttAAAF,Kappa,1,0.5,0.8940375
12,r7iNHo-YDufvj4ttAAAF,Zeta,0,1.0,0.9856499999999999
13,r7iNHo-YDufvj4ttAAAF,Zeta,1,1.0,0.9817625
14,r7iNHo-YDufvj4ttAAAF,Upsilon,0,0.75,0.9929625
15,r7iNHo-YDufvj4ttAAAF,Upsilon,1,0.75,0.9969
16,r7iNHo-YDufvj4ttAAAF,Omega,0,0.25,0.6896625
17,r7iNHo-YDufvj4ttAAAF,Omega,1,0.5,0.7494499999999998
18,E1SpkGS9NTgV8u12AAAR,Omega,0,0.375,0.5847250000000007
19,E1SpkGS9NTgV8u12AAAR,Omega,1,0.625,0.7324125000000002
20,E1SpkGS9NTgV8u12AAAR,Upsilon,0,0.625,0.850475
21,E1SpkGS9NTgV8u12AAAR,Upsilon,1,0.625,0.999125
22,E1SpkGS9NTgV8u12AAAR,Kappa,0,0.625,0.6651000000000001
23,E1SpkGS9NTgV8u12AAAR,Kappa,1,0.625,0.8876875000000001
24,E1SpkGS9NTgV8u12AAAR,Iota,0,0.375,0.5229624999999968
25,E1SpkGS9NTgV8u12AAAR,Iota,1,0.375,0.90025
26,E1SpkGS9NTgV8u12AAAR,Zeta,0,0.625,0.5436624999999964
27,E1SpkGS9NTgV8u12AAAR,Zeta,1,0.625,0.5316874999999978
28,ijO29Ey-fm1vE_ApAAAQ,Omega,0,0.75,0.6572249999999998
29,ijO29Ey-fm1vE_ApAAAQ,Omega,1,0.625,0.7177124999999999
30,ijO29Ey-fm1vE_ApAAAQ,Upsilon,0,1.0,0.5344750000000001
31,ijO29Ey-fm1vE_ApAAAQ,Upsilon,1,1.0,0.8908375000000001
32,ijO29Ey-fm1vE_ApAAAQ,Kappa,0,1.0,0.6061374999999997
33,ijO29Ey-fm1vE_ApAAAQ,Kappa,1,0.75,0.8891124999999996
34,ijO29Ey-fm1vE_ApAAAQ,Iota,0,0.375,0.7715749999999999
35,ijO29Ey-fm1vE_ApAAAQ,Iota,1,0.375,0.4781374999999992
36,xJIHTzH_6xnTxFlRAAAa,Zeta,0,0.625,0.943
37,xJIHTzH_6xnTxFlRAAAa,Zeta,1,0.75,0.9743
38,xJIHTzH_6xnTxFlRAAAa,Upsilon,0,1.0,0.9040375
39,xJIHTzH_6xnTxFlRAAAa,Upsilon,1,1.0,0.8587500000000001
40,VpvPjmHNp4f3c7RjAAAZ,Kappa,0,1.0,0.7436000000000001
41,VpvPjmHNp4f3c7RjAAAZ,Kappa,1,1.0,0.8637875
42,VpvPjmHNp4f3c7RjAAAZ,Zeta,0,1.0,0.9819625000000002
43,VpvPjmHNp4f3c7RjAAAZ,Zeta,1,1.0,0.9707625
44,VpvPjmHNp4f3c7RjAAAZ,Omega,0,0.5,0.6356999999999989
45,VpvPjmHNp4f3c7RjAAAZ,Omega,1,0.625,0.9301750000000001
46,VpvPjmHNp4f3c7RjAAAZ,Iota,0,0.625,0.7095625000000001
47,VpvPjmHNp4f3c7RjAAAZ,Iota,1,1.0,0.6185750000000001
48,VpvPjmHNp4f3c7RjAAAZ,Upsilon,0,0.625,0.7578749999999999
49,VpvPjmHNp4f3c7RjAAAZ,Upsilon,1,0.75,0.4988875
50,OmBy4yvY2pfWQmDgAAAK,Upsilon,0,1.0,0.7874125
51,OmBy4yvY2pfWQmDgAAAK,Upsilon,1,1.0,0.9460874999999999
52,OmBy4yvY2pfWQmDgAAAK,Iota,0,0.75,0.5071374999999965
53,OmBy4yvY2pfWQmDgAAAK,Iota,1,0.75,0.6237125
54,qqrRkUjR9e24cK98AAAJ,Iota,0,0.5,0.6241875
55,qqrRkUjR9e24cK98AAAJ,Iota,1,0.375,0.6739124999999999
56,qqrRkUjR9e24cK98AAAJ,Kappa,0,1.0,0.4988624999999997
57,qqrRkUjR9e24cK98AAAJ,Kappa,1,0.625,0.9815499999999999
58,qqrRkUjR9e24cK98AAAJ,Zeta,0,0.875,0.9859500000000004
59,qqrRkUjR9e24cK98AAAJ,Zeta,1,0.625,0.9870375
60,S1Rl8ZLjGuV9clZWAAAM,Upsilon,0,0.125,0.6465249999999997
61,S1Rl8ZLjGuV9clZWAAAM,Upsilon,1,0.75,0.9339625
62,S1Rl8ZLjGuV9clZWAAAM,Kappa,0,0.75,0.8343000000000002
63,S1Rl8ZLjGuV9clZWAAAM,Kappa,1,0.625,0.8546625000000003
64,S1Rl8ZLjGuV9clZWAAAM,Zeta,0,0.75,0.90615
65,S1Rl8ZLjGuV9clZWAAAM,Zeta,1,0.625,0.99975
66,rn_VRK5iLPgev9f8AAAN,Kappa,0,0.375,0.5020499999999999
67,rn_VRK5iLPgev9f8AAAN,Kappa,1,0.625,0.8676750000000001
68,rn_VRK5iLPgev9f8AAAN,Zeta,0,1.0,0.5229874999999976
69,rn_VRK5iLPgev9f8AAAN,Zeta,1,0.5,0.9976499999999999
70,rn_VRK5iLPgev9f8AAAN,Omega,0,0.625,0.7514249999999992
71,rn_VRK5iLPgev9f8AAAN,Omega,1,0.375,0.5987999999999999
72,rn_VRK5iLPgev9f8AAAN,Iota,0,0.25,0.6571874999999999
73,rn_VRK5iLPgev9f8AAAN,Iota,1,0.625,0.7853000000000001
74,kHHm-H0mTQUFgweSAAAP,Omega,0,0.625,0.6804124999999994
75,kHHm-H0mTQUFgweSAAAP,Omega,1,0.625,0.9511374999999999
76,kHHm-H0mTQUFgweSAAAP,Zeta,0,1.0,0.9765624999999996
77,kHHm-H0mTQUFgweSAAAP,Zeta,1,1.0,0.9746999999999999
78,kHHm-H0mTQUFgweSAAAP,Iota,0,0.5,0.97605
79,kHHm-H0mTQUFgweSAAAP,Iota,1,0.75,0.7471
80,kHHm-H0mTQUFgweSAAAP,Upsilon,0,1.0,0.9766750000000001
81,kHHm-H0mTQUFgweSAAAP,Upsilon,1,1.0,0.9982625
82,6gZy2DmjWY9DADshAAAO,Zeta,0,1.0,0.8871499999999978
83,6gZy2DmjWY9DADshAAAO,Zeta,1,1.0,0.988225
84,JT7ZAB7dPEXbWM9KAAAF,Kappa,0,0.5,0.5009124999999998
85,JT7ZAB7dPEXbWM9KAAAF,Kappa,1,0.625,0.8713249999999998
86,JT7ZAB7dPEXbWM9KAAAF,Upsilon,0,0.625,0.5155624999999998
87,JT7ZAB7dPEXbWM9KAAAF,Upsilon,1,0.625,0.9890000000000001
88,JT7ZAB7dPEXbWM9KAAAF,Omega,0,0.625,0.5248999999999996
89,JT7ZAB7dPEXbWM9KAAAF,Omega,1,0.625,0.8023874999999998
90,JT7ZAB7dPEXbWM9KAAAF,Zeta,0,1.0,0.99895
91,JT7ZAB7dPEXbWM9KAAAF,Zeta,1,1.0,0.9976
92,qTHpztkVBSdBm_UZAAAE,Iota,0,0.75,0.6940999999999998
